Surname,PhD or Highest Degree,Research Domain 1,Research Domain 2,Research Domain 3,Academic Discipline
Kheshgi,Chemical Engineering,Biophysical & Ecological Modelling,Energy Systems,Technology Policy & Innovation,Engineering
"Kim, Suduk",Economics,Energy Systems,,,Economics
"Kim, Yong-Gun",Environmental Economics,Environment & Climate Economics,,,Economics
Klasen,Economics,Development Economics,Welfare Economics,,Economics
Kobayashi,MD,,,,MD
Kolstad,Economics,Environmental & Climate Economics,Environmental Policy,,Economics
Kopp,Economics,Environmental & Climate Economics,,,Economics
Krey,Engineering,Energy Systems,Behavioural Economics/Psychology,,Engineering
Kriegler,Theoretical Physics,Energy Systems,,,"Physical, Natural & Applied Sciences"
Krug,Spatial Statistics,Land Use Science,,,"Physical, Natural & Applied Sciences"
Kunreuther,Economics,Behavioural Economics/Psychology,Environmental Impact & Risk Assessment,Environmental Policy,Economics
Kverndokk,Economics,Environmental & Climate Economics,Behavioural Economics/Psychology,,Economics
Labandeira,Economics,Environmental & Climate Economics,Climate & Energy Policy,,Economics
Lanza,Economics,Environmental & Climate Economics,Climate & Energy Policy,,Economics
Lecocq,Economics,Energy Systems,Environmental & Climate Economics,,Economics
Lee,Environmental Economics,Climate & Energy Policy,Environmental & Climate Economics,Energy Systems,Economics
Lefevre,Economics,Climate & Energy Policy,Urban Planning,Energy Systems,Social Sciences
Lewis,Energy & Resources,Climate & Energy Policy,Technology Policy & Innovation,,Social Sciences
Ling,Law,Environmental Policy,,,Social Sciences
Linnerooth-Bayer,Economics,Environmental Impact & Risk Assessment,,,Economics
Liphoto,Environmental Sciences,Climate & Energy Policy,Climate Finance?,,Environmental Sciences
Llanes-Regueiro,Economics,Climate & Energy Policy,,,Economics
Löschel,Economics,Environmental & Climate Economics,Climate & Energy Policy,,Economics
Lucon,Energy,Climate & Energy Policy,Environmental Engineering,,Engineering
Lutz,Demography,Demography Studies,Climate & Energy Policy,,Social Sciences
Lwasa,Land Management,Climate & Energy Policy,Environmental Policy,,Social Sciences
Machado-Filho,Law,Climate & Energy Policy,Technology Policy & Innovation,,Social Sciences
Managi,Environmental Economics,Environmental & Climate Economics,Technology Policy & Innovation,Environmental Policy,Economics
Masera-Cerutti,Energy & Resources,Biophysical & Ecological Modelling,Climate & Energy Policy,Environmental Policy,"Physical, Natural & Applied Sciences"
Massetti,Economics,Environment & Climate Economics,Climate & Energy Policy,,Economics
Mathur,Energy Science,Energy Systems,,,Engineering
Mbow,Land Use Science,Biophysical & Ecological Modelling,,,"Physical, Natural & Applied Sciences"
McKinnon,Geography,Environmental Engineering,Environmental Impact & Risk Assessment,Energy Systems,Social Sciences
McMahon,Molecular Biophysics,Climate & Energy Policy,Technology Policy & Innovation,Energy Systems,"Physical, Natural & Applied Sciences"
Messouli,MD,,,,MD
Meyer,Philosophy,Philosophy & Ethics,,,Humanities
Michaelowa,Economics,Environmental & Climate Economics,Climate & Energy Policy,,Economics
Mirasgedis,Energy & Environmental Economics,Energy Systems,Environmental & Climate Economics,,Economics
Mitchell,Technology & Innovation,Climate & Energy Policy,Technology Policy & Innovation,,Social Sciences
Montero,Industrial Environmental Economics,Environmental & Climate Economics,Climate & Energy Policy,,Economics
Morgan,International Studies*,Climate & Energy Policy,,,Social Sciences
Müller,Environmental Engineering,Biophysical & Ecological Modelling,Environmental Engineering,,Engineering
Mulugetta,Renewable Energy,Energy Systems,Climate & Energy Policy,Environmental Policy,Environmental Sciences
Mundaca,Industrial Environmental Economics,Energy Systems,Climate & Energy Policy,,Economics
"Murakami, Jin",Urban Planning,Climate & Energy Policy,Urban Planning,,Social Sciences
"Murakami, Shuzo",Engineering,Environmental Engineering,,,Engineering
Muvundika,MD,,,,MD
Muylaert-de-Araujo,Energy Planning,Climate & Energy Policy,Land Use Science,Land Use Science,"Physical, Natural & Applied Sciences"
Nabuurs,Forest Planning & Economics,Land Use Science,Climate & Energy Policy,Environmental Policy,"Physical, Natural & Applied Sciences"
Nagendra,Ecology,Land Use Science,Biophysical & Ecological Modelling,,"Physical, Natural & Applied Sciences"
Nakicenovic,Energy Economics,Environmental & Climate Economics,Technology Policy & Innovation,Climate & Energy Policy,Economics
Nenov,MD,,,,MD
Newman,Chemistry,Climate & Energy Policy,Environmental Policy,,"Physical, Natural & Applied Sciences"
Nimir,Engineering,Environmental Engineering,Energy Systems,,Engineering
Norgaard,Economics,Climate & Energy Policy,Environmental & Climate Economics,Development Economics,Social Sciences
Nzunda,Ecology,Land Use Science,Climate & Energy Policy,,"Physical, Natural & Applied Sciences"
Ofosu-Ahenkorah,Energy Science,Energy Systems,,,Engineering
Okereke,Political Science,Climate & Energy Policy,,,Social Sciences
Olivier,Physics,Energy Systems,,,"Physical, Natural & Applied Sciences"
Ouyang,Engineering,Environmental Engineering,Energy Systems,,Engineering
Paltsev,Economics,Energy Systems,Climate & Energy Policy,Environmental Impact & Risk Assessment,Economics
Pálvölgy,MD,,,,MD
Pan,Economics,Environmental & Climate Economics,Climate & Energy Policy,Environmental Policy,Economics
"Parikh, Jyoti",Theoretical Physics,Environmental & Climate Economics,Climate & Energy Policy,Technology Policy & Innovation,Environmental Sciences
"Parikh, Kirit",Theoretical Physics,Energy Systems,Climate & Energy Policy,Technology Policy & Innovation,"Physical, Natural & Applied Sciences"
Paterson,Political Science,Climate & Energy Policy,Environmental Policy,,Social Sciences
Pathak,MD,Biophysical & Ecological Modelling,,,MD
Patt,Public Policy,Climate & Energy Policy,Environmental Impact & Risk Assessment,,Social Sciences
Perczyk,Industrial Engineering,Climate & Energy Policy,,,Engineering
Pérez-Arriaga,Engineering,Environmental Engineering,Energy Systems,,Engineering
Pichs-Madruga,Economics,Environmental & Climate Economics,,,Economics
Pinguelli-Rosa,Physics,Energy Systems,Environmental Policy,,"Physical, Natural & Applied Sciences"
Price,Land Resources,Environmental Engineering,Climate & Energy Policy,Energy Systems,Engineering
Pyke,Geography,Urban Planning,Land Use Science,,Social Sciences
Ramakrishna,Law,Environmental Policy,Climate & Energy Policy,,Social Sciences
Ramaswami,Civil & Environmental Engineering,Energy Systems,Environmental Engineering,,Engineering
Rauscher,Economics,Environmental & Climate Economics,Environmental Policy,Development Economics,Economics
Ravindranath,Ecology,Energy Systems,Land Use Science,Environmental Policy,Environmental Sciences
Riahi*,MD,,,,Economics
"Rice, Charles",Soil Microbiology,Biophysical & Ecological Modelling,,,"Physical, Natural & Applied Sciences"
"Rice, Jake",Zoology,Biophysical & Ecological Modelling,Environmental Policy,,"Physical, Natural & Applied Sciences"
Richels,Decision Science,Environment & Climate Economics,,,Economics
Robledo-Abad,Geography,Land Use Science,Environmental Policy,Climate & Energy Policy,Social Sciences
Rogner,Energy Economics,Energy Systems,Technology Policy & Innovation,,Economics
Romanovskaya,Ecological & Biological Sciences,Land Use Science,Biophysical & Ecological Modelling,,"Physical, Natural & Applied Sciences"
Rose,Economics,Energy Systems,Environmental Impact & Risk Assessment,Climate & Energy Policy,Economics
Roy,Economics,Environmental & Climate Economics,Environmental & Climate Economics,,Economics
Ruth,Geography,Urban Planning,Climate & Energy Policy,Biophysical & Ecolocial Modelling,Environmental Sciences
Sagar,Materials Science,Climate & Energy Policy,Technology Policy & Innovation,,Environmental Sciences
Santalla,Chemical Engineering,Environmental Engineering,,,Engineering
Sathaye,Environmental Engineering,Land Use Science,Climate & Energy Policy,,Engineering
Schaeffer,Energy Policy,Climate & Energy Policy,Environmental Policy,Energy Systems,Social Sciences
Schauer,Environmental Engineering,Biophysical & Ecological Modelling,,,Engineering
Seroa-da-Motta,Economics,Environmental & Climate Economics,Environmental Policy,,Economics
Seto,Geography,Urban Planning,Energy Systems,,Social Sciences
Sheikho,MD,,,,MD
Sheinbaum,Energy Engineering,Energy Systems,Technology Policy & Innovation,Climate & Energy Policy,Engineering
Shittu,Philosophy,Climate & Energy Policy,Energy Systems,Technology Policy & Innovation,Humanities
Shukla*,MD,Environmental Engineering,Climate & Energy Policy,,Engineering
Sims,Engineering,Energy Systems,Environmental Impact & Risk Assessment,Climate & Energy Policy,Engineering
Skea,Energy Research,Climate & Energy Policy,Energy Systems,Technology Policy & Innovation,Engineering
Smith,Biology,Biophysical & Ecological Modelling,Land Use Science,,"Physical, Natural & Applied Sciences"
Sokona,Environmental Sciences,Climate & Energy Policy,,,Environmental Sciences
Somanathan,Economics,Development Economics,Climate & Energy Policy,,Economics
Sperling,Transport Engineering,Technology Policy & Innovation,Climate & Energy Policy,,Engineering
"Sperling, Frank",MD,,,,MD
Stavins,Economics,Environmental & Climate Economics,Climate & Energy Policy,,Economics
Stern,Geography,Energy Systems,,,Economics
Sterner,Economics,Environmental & Climate Economics,Climate & Energy Policy,,Economics
